# Wavelength Obs Model
5.89097364e+02 5.29594243e+03 7.88877085e+03
5.89100659e+02 5.42213806e+03 7.71385744e+03
5.89103954e+02 4.79954423e+03 7.50040811e+03
5.89107249e+02 4.79521605e+03 7.25340862e+03
5.89110544e+02 5.22094155e+03 6.98218571e+03
5.89113839e+02 5.08677652e+03 6.70061699e+03
5.89117135e+02 4.71869579e+03 6.42586638e+03
5.89120430e+02 4.18531162e+03 6.17576970e+03
5.89123725e+02 3.78971911e+03 5.96557269e+03
5.89127020e+02 3.40884370e+03 5.80494598e+03
5.89130315e+02 4.02120414e+03 5.69599658e+03
5.89133610e+02 4.40863640e+03 5.63260864e+03
5.89136905e+02 4.36571870e+03 5.60117053e+03
5.89140200e+02 4.67266788e+03 5.58263350e+03
5.89143496e+02 4.50004650e+03 5.55572715e+03
5.89146791e+02 4.14181166e+03 5.50087919e+03
5.89150086e+02 4.49482592e+03 5.40402551e+03
5.89153381e+02 3.95742609e+03 5.25930369e+03
5.89156676e+02 3.61422561e+03 5.06980475e+03
5.89159971e+02 3.79595236e+03 4.84611132e+03
5.89163266e+02 3.53133661e+03 4.60306119e+03
5.89166561e+02 2.89728818e+03 4.35573574e+03
5.89169856e+02 3.25952558e+03 4.11584038e+03
5.89173152e+02 2.99119776e+03 3.88938424e+03
5.89176447e+02 2.74799423e+03 3.67607809e+03
5.89179742e+02 2.73901285e+03 3.47041998e+03
5.89183037e+02 2.70704730e+03 3.26415100e+03
5.89186332e+02 2.14672937e+03 3.04956554e+03
5.89189627e+02 1.98001799e+03 2.82295221e+03
5.89192922e+02 2.07429128e+03 2.58727065e+03
5.89196217e+02 1.62722822e+03 2.35321720e+03
5.89199513e+02 6.99191968e+02 2.13821430e+03
5.89202808e+02 1.17872466e+03 1.96347405e+03
5.89206103e+02 6.11295813e+02 1.84987941e+03
5.89209398e+02 7.64279969e+02 1.81376792e+03
5.89212693e+02 1.40910201e+03 1.86370374e+03
5.89215988e+02 3.51473131e+03 1.99901577e+03
5.89219283e+02 8.47220041e+03 2.21036171e+03
5.89222578e+02 1.49347266e+04 2.48199771e+03
5.89225873e+02 2.02662068e+04 2.79497845e+03
5.89229169e+02 2.07202189e+04 3.13034562e+03
5.89232464e+02 1.53943980e+04 3.47153267e+03
5.89235759e+02 8.25975920e+03 3.80561557e+03
5.89239054e+02 4.58633051e+03 4.12347695e+03
5.89242349e+02 3.94470086e+03 4.41924536e+03
5.89245644e+02 3.88172467e+03 4.68945434e+03
5.89248939e+02 4.01465137e+03 4.93227589e+03
5.89252234e+02 4.24882434e+03 5.14701822e+03
5.89255530e+02 3.98835035e+03 5.33392178e+03
5.89258825e+02 4.15273517e+03 5.49417968e+03
5.89262120e+02 3.73148698e+03 5.63004728e+03
5.89265415e+02 3.97758471e+03 5.74487657e+03
5.89268710e+02 4.43107510e+03 5.84291472e+03
5.89272005e+02 3.56348182e+03 5.92875655e+03
5.89275300e+02 3.71551862e+03 6.00644845e+03
5.89278595e+02 4.39895935e+03 6.07838517e+03
5.89281890e+02 4.54827963e+03 6.14427228e+03
5.89285186e+02 4.61357539e+03 6.20049101e+03
5.89288481e+02 5.07112008e+03 6.24016640e+03
5.89291776e+02 5.23784930e+03 6.25410052e+03
5.89295071e+02 4.67227270e+03 6.23251887e+03
5.89298366e+02 5.19792608e+03 6.16734443e+03
5.89301661e+02 5.23078095e+03 6.05453354e+03
5.89304956e+02 4.71529344e+03 5.89593746e+03
5.89308251e+02 4.44898265e+03 5.70021387e+03
5.89311547e+02 4.45601438e+03 5.48249148e+03
5.89314842e+02 4.21133099e+03 5.26276743e+03
5.89318137e+02 3.91304835e+03 5.06334574e+03
5.89321432e+02 3.93562517e+03 4.90589417e+03
5.89324727e+02 3.48746584e+03 4.80874884e+03
5.89328022e+02 3.09684482e+03 4.78486445e+03
5.89331317e+02 3.44411349e+03 4.84044228e+03
5.89334612e+02 4.07118625e+03 4.97406140e+03
5.89337907e+02 4.68027795e+03 5.17628305e+03
5.89341203e+02 5.13004109e+03 5.43007244e+03
5.89344498e+02 5.48131445e+03 5.71257999e+03
5.89347793e+02 4.87912463e+03 5.99847575e+03
5.89351088e+02 5.24492966e+03 6.26419512e+03
5.89354383e+02 5.61787020e+03 6.49171830e+03
5.89357678e+02 5.36575083e+03 6.67051671e+03
5.89360973e+02 5.60702068e+03 6.79713936e+03
5.89364268e+02 5.30638234e+03 6.87300362e+03
5.89367564e+02 5.28691540e+03 6.90161181e+03
5.89370859e+02 5.19838825e+03 6.88639150e+03
5.89374154e+02 5.33404393e+03 6.82987117e+03
5.89377449e+02 5.11826242e+03 6.73429279e+03
5.89380744e+02 5.25011538e+03 6.60323727e+03
5.89384039e+02 5.61067779e+03 6.44347945e+03
