# Wavelength Obs Model
5.89097364e+02 5.29594243e+03 7.97656911e+03
5.89100659e+02 5.42213806e+03 7.81092014e+03
5.89103954e+02 4.79954423e+03 7.60583692e+03
5.89107249e+02 4.79521605e+03 7.36513290e+03
5.89110544e+02 5.22094155e+03 7.09672852e+03
5.89113839e+02 5.08677652e+03 6.81328041e+03
5.89117135e+02 4.71869579e+03 6.53139051e+03
5.89120430e+02 4.18531162e+03 6.26931453e+03
5.89123725e+02 3.78971911e+03 6.04373853e+03
5.89127020e+02 3.40884370e+03 5.86656084e+03
5.89130315e+02 4.02120414e+03 5.74251846e+03
5.89133610e+02 4.40863640e+03 5.66810750e+03
5.89136905e+02 4.36571870e+03 5.63189882e+03
5.89140200e+02 4.67266788e+03 5.61619431e+03
5.89143496e+02 4.50004650e+03 5.59988350e+03
5.89146791e+02 4.14181166e+03 5.56215381e+03
5.89150086e+02 4.49482592e+03 5.48637810e+03
5.89153381e+02 3.95742609e+03 5.36325028e+03
5.89156676e+02 3.61422561e+03 5.19228711e+03
5.89159971e+02 3.79595236e+03 4.98122105e+03
5.89163266e+02 3.53133661e+03 4.74343986e+03
5.89166561e+02 2.89728818e+03 4.49423876e+03
5.89169856e+02 3.25952558e+03 4.24698545e+03
5.89173152e+02 2.99119776e+03 4.01022721e+03
5.89176447e+02 2.74799423e+03 3.78637530e+03
5.89179742e+02 2.73901285e+03 3.57212471e+03
5.89183037e+02 2.70704730e+03 3.36040379e+03
5.89186332e+02 2.14672937e+03 3.14340944e+03
5.89189627e+02 1.98001799e+03 2.91607179e+03
5.89192922e+02 2.07429128e+03 2.67909274e+03
5.89196217e+02 1.62722822e+03 2.44065408e+03
5.89199513e+02 6.99191968e+02 2.21615378e+03
5.89202808e+02 1.17872466e+03 2.02588557e+03
5.89206103e+02 6.11295813e+02 1.89121486e+03
5.89209398e+02 7.64279969e+02 1.83026067e+03
5.89212693e+02 1.40910201e+03 1.85422203e+03
5.89215988e+02 3.51473131e+03 1.96527612e+03
5.89219283e+02 8.47220041e+03 2.15650365e+03
5.89222578e+02 1.49347266e+04 2.41370275e+03
5.89225873e+02 2.02662068e+04 2.71842361e+03
5.89229169e+02 2.07202189e+04 3.05128170e+03
5.89232464e+02 1.53943980e+04 3.39468115e+03
5.89235759e+02 8.25975920e+03 3.73443788e+03
5.89239054e+02 4.58633051e+03 4.06024744e+03
5.89242349e+02 3.94470086e+03 4.36529516e+03
5.89245644e+02 3.88172467e+03 4.64545134e+03
5.89248939e+02 4.01465137e+03 4.89844599e+03
5.89252234e+02 4.24882434e+03 5.12326640e+03
5.89255530e+02 3.98835035e+03 5.31985810e+03
5.89258825e+02 4.15273517e+03 5.48908756e+03
5.89262120e+02 3.73148698e+03 5.63284907e+03
5.89265415e+02 3.97758471e+03 5.75415532e+03
5.89268710e+02 4.43107510e+03 5.85703912e+03
5.89272005e+02 3.56348182e+03 5.94612610e+03
5.89275300e+02 3.71551862e+03 6.02583228e+03
5.89278595e+02 4.39895935e+03 6.09928280e+03
5.89281890e+02 4.54827963e+03 6.16719485e+03
5.89285186e+02 4.61357539e+03 6.22705966e+03
5.89288481e+02 5.07112008e+03 6.27295383e+03
5.89291776e+02 5.23784930e+03 6.29619936e+03
5.89295071e+02 4.67227270e+03 6.28689335e+03
5.89298366e+02 5.19792608e+03 6.23609051e+03
5.89301661e+02 5.23078095e+03 6.13821218e+03
5.89304956e+02 4.71529344e+03 5.99314185e+03
5.89308251e+02 4.44898265e+03 5.80748487e+03
5.89311547e+02 4.45601438e+03 5.59461965e+03
5.89314842e+02 4.21133099e+03 5.37342877e+03
5.89318137e+02 3.91304835e+03 5.16593303e+03
5.89321432e+02 3.93562517e+03 4.99435931e+03
5.89324727e+02 3.48746584e+03 4.87829751e+03
5.89328022e+02 3.09684482e+03 4.83243887e+03
