# Wavelength Obs Model
5.89097364e+02 4.14059556e+03 1.25457200e+04
5.89100659e+02 6.55540511e+03 9.19333467e+03
5.89103954e+02 9.85537746e+03 6.87455810e+03
5.89107249e+02 1.15856875e+04 5.94318753e+03
5.89110544e+02 1.10413127e+04 6.19603892e+03
5.89113839e+02 9.93897840e+03 7.10201748e+03
5.89117135e+02 9.09932751e+03 8.13616452e+03
5.89120430e+02 9.04723113e+03 9.00580210e+03
5.89123725e+02 9.57385463e+03 9.69803061e+03
5.89127020e+02 1.06274269e+04 1.03715008e+04
5.89130315e+02 1.19870284e+04 1.11819377e+04
5.89133610e+02 1.29712760e+04 1.21555553e+04
5.89136905e+02 1.39258754e+04 1.31792357e+04
5.89140200e+02 1.43837508e+04 1.40965704e+04
5.89143496e+02 1.46285109e+04 1.48227713e+04
5.89146791e+02 1.47620009e+04 1.53821416e+04
5.89150086e+02 1.49874367e+04 1.58519385e+04
5.89153381e+02 1.51778723e+04 1.62729339e+04
5.89156676e+02 1.58521400e+04 1.65981451e+04
5.89159971e+02 1.62199894e+04 1.67257336e+04
5.89163266e+02 1.54935102e+04 1.66090695e+04
5.89166561e+02 1.49368698e+04 1.63537457e+04
5.89169856e+02 1.48808215e+04 1.61879384e+04
5.89173152e+02 1.57605095e+04 1.63110896e+04
5.89176447e+02 1.64951864e+04 1.67582425e+04
5.89179742e+02 1.72758321e+04 1.73971774e+04
5.89183037e+02 1.75191759e+04 1.80471733e+04
5.89186332e+02 1.78279148e+04 1.86020525e+04
5.89189627e+02 1.83146327e+04 1.90544617e+04
5.89192922e+02 1.81427739e+04 1.94381789e+04
5.89196217e+02 1.86037167e+04 1.97722857e+04
5.89199513e+02 1.85994707e+04 2.00454673e+04
5.89202808e+02 1.87312614e+04 2.02244348e+04
5.89206103e+02 1.95980573e+04 2.02696718e+04
5.89209398e+02 1.85566544e+04 2.01584425e+04
5.89212693e+02 1.82720196e+04 1.99125460e+04
5.89215988e+02 1.77303885e+04 1.96127284e+04
5.89219283e+02 1.73979865e+04 1.93774118e+04
5.89222578e+02 1.76704955e+04 1.93064796e+04
5.89225873e+02 1.83450230e+04 1.94278601e+04
5.89229169e+02 1.87033141e+04 1.96920648e+04
5.89232464e+02 1.93800076e+04 2.00167568e+04
5.89235759e+02 1.95507420e+04 2.03362877e+04
5.89239054e+02 1.95069316e+04 2.06170698e+04
5.89242349e+02 1.93800035e+04 2.08444761e+04
5.89245644e+02 1.97941033e+04 2.10112239e+04
5.89248939e+02 2.02616250e+04 2.11196909e+04
5.89252234e+02 2.02972629e+04 2.11846543e+04
5.89255530e+02 2.07547396e+04 2.12231689e+04
5.89258825e+02 2.05171413e+04 2.12382715e+04
5.89262120e+02 2.03998615e+04 2.12130348e+04
5.89265415e+02 2.10680485e+04 2.11218713e+04
5.89268710e+02 2.06539555e+04 2.09526378e+04
5.89272005e+02 2.00066882e+04 2.07267259e+04
5.89275300e+02 1.92513975e+04 2.05020546e+04
5.89278595e+02 1.93725422e+04 2.03492704e+04
5.89281890e+02 1.94943294e+04 2.03125150e+04
5.89285186e+02 2.02641653e+04 2.03859441e+04
5.89288481e+02 2.06658062e+04 2.05248795e+04
5.89291776e+02 2.02807612e+04 2.06740297e+04
5.89295071e+02 2.01796537e+04 2.07820515e+04
5.89298366e+02 2.05084417e+04 2.07991031e+04
5.89301661e+02 1.99978103e+04 2.06807736e+04
